	EdgesPerVertex	SCALE	d4mPutResult	d4mScanMult	edges	graphuloMult	mrTime	mrTime_1	mrTime_2	mrTime_4	nnz	nodes	numpp	splitCompact	splitPoints	splitPoints2	splitPointsR	splitPointsRBest	splitSizes	splitSizes2	splitSizesR	splitSizesRBest	tAssoc	tFile	tInsert	tMerge	tStat
DHB_10_TgraphAdj	16	10			27312							890											0.20508	0.038599	0.8238	1.183	0.059171
DHB_11_TgraphAdj	16	11			56400							1709											0.39706	0.068325	1.194	1.0295	0.10943
DHB_12_TgraphAdj	16	12			115723							3393											0.78359	0.089696	1.9523	1.2379	0.11085
DHB_13_TgraphAdj	16	13			236848							6504											1.3607	0.17818	3.8288	1.3163	0.13882
DHB_14_TgraphAdj	16	14			481860							12501											2.7172	0.29059	7.2536	1.5393	0.21755
DHB_15_TgraphAdj	16	15			978867							24220											5.589	0.57785	14.6924	2.3249	0.37935
DHB_16_TgraphAdj	16	16			1982297							46804											11.4101	1.1557	28.1405	4.3118	0.69305
DHB_17_TgraphAdj	16	17			4004430							90252											23.8195	2.4185	57.5361	7.411	1.2004
DHB_18_TgraphAdj	16	18			8077898							173730											52.3438	5.2032	114.0303	11.5844	2.4335
DH_10_TgraphAdj	16	10			27281							891											0.23162	0.032628	0.79431	0.91232	0.043486
DH_10_TgraphAdj_tXDHB_10_TgraphAdj_nt1			2.6739	0.27705		0.96266		5.1542	5.9613				804989	1.9345													
DH_10_TgraphAdj_tXDHB_10_TgraphAdj_nt2			3.1294	0.47937		0.90616		4.9132	4.9786		269404		804989	2.9683	385,	387,	385,	467,	6110,5999,	6058,6049,	380587,424402,	134707,134697,					
DH_11_TgraphAdj	16	11			56442							1720											0.37091	0.050874	1.2381	1.0362	0.060524
DH_11_TgraphAdj_tXDHB_11_TgraphAdj_nt1			8.5326	0.65427		2.3903		5.9201	7.1295				2361580	1.8759													
DH_11_TgraphAdj_tXDHB_11_TgraphAdj_nt2			8.3491	0.81146		1.9733		7.4181	7.2873		814644		2361580	2.6424	261,	259,	261,	234,	12881,12686,	12820,12734,	1177097,1184483,	407373,407271,					
DH_12_TgraphAdj	16	12			115977							3343											0.68691	0.088706	2.1083	1.2094	0.087067
DH_12_TgraphAdj_tXDHB_12_TgraphAdj_nt1			26.9302	1.9869		9.5064	16.9256	13.0554	15.0488				6816962	4.3953													
DH_12_TgraphAdj_tXDHB_12_TgraphAdj_nt2			26.301	1.9626		5.3072	14.0152	12.0573	26.0573	11.9749	2430381		6816962	2.6098	2562,	2564,	2562,	2593,	26800,26727,	26692,26668,	3367913,3449049,	1216091,1214290,					
DH_13_TgraphAdj	16	13			237141							6507											1.3344	0.15548	3.9173	1.3286	0.37067
DH_13_TgraphAdj_tXDHB_13_TgraphAdj_nt1			79.726	5.3643		27.4347		30.0785	28.0849				19111689	3.8645													
DH_13_TgraphAdj_tXDHB_13_TgraphAdj_nt2			75.8606	5.9962		17.8855		25.1435	27.6312		7037007		19111689	2.6678	33,	33,	33,	4001,	55676,55363,	55461,55371,	6029111,8945757,	3518540,3518467,					
DH_14_TgraphAdj	16	14			482368							12538											2.6701	0.28927	7.4996	1.9406	0.22107
DH_14_TgraphAdj_tXDHB_14_TgraphAdj_nt1			219.4659	17.7503		72.2903		85.2105	98.2588				52656204	3.8913													
DH_14_TgraphAdj_tXDHB_14_TgraphAdj_nt2			218.2645	18.469		49.7548		58.1742	61.1115		20029427		52656204	2.8602	35,	353,	35,	3589,	114203,114171,	114090,113905,	19593232,19744665,	10014760,10014667,					
DH_15_TgraphAdj	16	15			979388							24284											5.5973	0.5719	14.1297	2.9002	0.37927
DH_15_TgraphAdj_tXDHB_15_TgraphAdj_nt1			651.8313	100.2848		222.5574		274.3455	281.2748				147104084	4.7588													
DH_15_TgraphAdj_tXDHB_15_TgraphAdj_nt2			653.5101	90.0873		160.6783		176.148	194.9426		58288789		147104084	3.1748	2505,	25,	2505,	24645,	234090,234066,	234382,233679,	49845764,47229214,	29145646,29143143,					
DH_16_TgraphAdj	16	16			1982264							46793											11.3873	1.1623	28.7956	4.3953	0.72517
DH_16_TgraphAdj_tXDHB_16_TgraphAdj_nt1						748.9145		919.4111	919.5127				400380031	6.0486													
DH_16_TgraphAdj_tXDHB_16_TgraphAdj_nt2						550.5458		598.3666	605.1355		163481262		400380031	6.0094	33054,	33040,	33054,	34313,	477565,477545,	477556,477554,	117382173,135278322,	81745668,81735594,					
DH_17_TgraphAdj	16	17			4006076							90257											23.6102	2.3862	56.6893	7.4031	1.1851
DH_17_TgraphAdj_tXDHB_17_TgraphAdj_nt1						2255.4086							1088694549	7.9813													
DH_17_TgraphAdj_tXDHB_17_TgraphAdj_nt2						1807.3279					458643568		1088694549	13.0733	385,	3841,	385,6736,	4121,	973031,970069,	971172,971001,	296878188,201849039,202425533,	229341005,229302563,					
DH_18_TgraphAdj	16	18			8078521							174282											59.3621	6.0415	113.7393	8.4025	2.3907
DH_18_TgraphAdj_tXDHB_18_TgraphAdj_nt2						6123.7746							2929457195	24.9108	258,	258,	258,		1970502,1969061,	1970587,1968727,	998213132,934741302,						
