	EdgesPerVertex	SCALE	d4mPutResult	d4mScanMult	edges	graphuloMult	mrTime_1	mrTime_10	mrTime_2	mrTime_4	mrTime_8	nodes	numpp	splitCompact	splitPoints	splitPoints2	splitPointsR	splitSizes	splitSizes2	splitSizesR	tAssoc	tFile	tInsert	tMerge	tStat
DHB_10_TgraphAdj	16	10			27310							884									0.44538	0.079338	0.82868	1.1395	0.14091
DHB_11_TgraphAdj	16	11			56350							1733									0.79395	0.13527	1.1769	1.3078	0.16248
DHB_12_TgraphAdj	16	12			115806							3342									1.4133	0.22569	1.6539	1.3899	0.26945
DHB_13_TgraphAdj	16	13			237021							6441									2.7116	0.43652	4.4716	1.5908	0.34715
DHB_14_TgraphAdj	16	14			481986							12503									5.3962	0.8323	5.816	2.5442	0.47473
DHB_15_TgraphAdj	16	15			979593							24281									10.922	1.6235	10.804	4.0619	1.2022
DHB_16_TgraphAdj	16	16			1982629							46860									22.124	3.2805	21.669	6.8466	1.4864
DH_10_TgraphAdj	16	10			27305							893									0.45105	0.079414	0.71554	1.3792	0.12693
DH_10_TgraphAdj_tXDHB_10_TgraphAdj_nt1			2.3256	1.0042		4.6212	36.242	57.068	41.114	42.226	53.456		816423	6.228											
DH_10_TgraphAdj_tXDHB_10_TgraphAdj_nt2						2.3898	36.908	48.049	39.984	41.214	41.129		816423	3.0621	386,	385,	386,	6098,6040,	6071,6051,	386336,430087,					
DH_10_TgraphAdj_tXDHB_10_TgraphAdj_nt4						2.4819	46.945	58.357	42.741	47.604	50.45		816423	3.0395	21,386,607,	21,385,603,	21,386,607,	3103,2995,3004,3036,	3062,3009,3020,3031,	186676,199660,211305,218782,					
DH_10_TgraphAdj_tXDHB_10_TgraphAdj_nt8						2.2773	51.559	65.722	55.725	57.345	63.534		816423	5.1486	141,21,29,386,515,607,769,	140,21,290,385,516,603,76,	141,21,29,386,515,607,769,	1543,1560,1452,1543,1497,1507,1577,1459,	1517,1545,1489,1520,1514,1506,1517,1514,	84915,101761,98995,100665,100887,110418,114239,104543,					
DH_11_TgraphAdj	16	11			56400							1736									0.80868	0.14219	1.0276	1.6144	0.16255
DH_11_TgraphAdj_tXDHB_11_TgraphAdj_nt1						9.8663	46.592	60.048	45.036	41.14	54.448		2341751	6.2979											
DH_11_TgraphAdj_tXDHB_11_TgraphAdj_nt2						6.8408	41.922	46.377	38.959	39.531	54.11		2341751	3.0716	261,	261,	261,	12898,?,	12821,?,	1181567,1160184,					
DH_11_TgraphAdj_tXDHB_11_TgraphAdj_nt4						5.517	49.252	58.323	48.532	49.257	55.519		2341751	3.7269	133,261,529,	133,261,529,	133,261,529,	6459,6439,6383,6272,	6433,6388,6391,6353,	558461,623106,565125,595059,					
DH_11_TgraphAdj_tXDHB_11_TgraphAdj_nt8						5.8317	55.201	69.387	57.484	59.269	64.283		2341751	5.4147	1093,133,17,261,37,529,689,	1096,133,17,261,37,529,682,	1093,133,17,261,37,529,689,	3227,3232,3307,3132,3159,3224,3078,3194,	3195,3238,3373,3015,3177,3214,3155,3198,	250302,308159,342759,280347,281734,283391,288530,306529,					
DH_12_TgraphAdj	16	12			116096							3330									1.4014	0.24194	1.6638	1.5301	0.22552
