	EdgesPerVertex	SCALE	edges	graphuloMult	mrTime_10	nodes	numpp	splitCompact	splitPoints	splitPoints2	splitPointsR	splitSizes	splitSizes2	splitSizesR	tAssoc	tFile	tInsert	tMerge	tStat
DHB_10_TgraphAdj	16	10	27310			884									0.47607	0.08351	1.521	1.2175	0.27894
DHB_11_TgraphAdj	16	11	56350			1733									0.78741	0.13035	1.3406	1.2493	0.29125
DHB_12_TgraphAdj	16	12	115806			3342									1.4079	0.22463	2.0506	1.4626	0.32898
DHB_13_TgraphAdj	16	13	237021			6441									2.7172	0.41355	3.0757	1.509	0.47552
DHB_14_TgraphAdj	16	14	481986			12503									5.4578	0.79156	5.7673	2.41	1.3218
DHB_15_TgraphAdj	16	15	979593			24281									10.925	1.5839	11.518	4.154	1.1716
DHB_16_TgraphAdj	16	16	1982629			46860									22.119	3.2398	23.005	7.4917	2.1599
DHB_17_TgraphAdj	16	17	4005768			90028									45.338	6.8626	42.898	12.402	3.4461
DHB_18_TgraphAdj	16	18	7921251			174205									159.513	14.643	89.647	27.298	6.5616
DH_10_TgraphAdj	16	10	27305			893									0.50184	0.096766	0.68803	1.3634	0.20532
DH_10_TgraphAdj_tXDHB_10_TgraphAdj_nt16				1.2288	55.676		816423	13.834	120,141,170,21,260,29,33,386,457,515,545,604,665,769,835,	122,140,172,21,261,290,33,385,455,516,545,601,67,757,84,	120,141,170,21,260,29,33,386,457,515,545,604,665,769,835,	759,784,738,822,705,747,899,644,729,768,774,727,761,822,693,766,	757,760,758,787,771,718,881,639,743,771,770,731,819,693,765,759,	37255,47660,49293,52468,49205,49790,54694,45971,57151,43736,52393,57812,54826,59626,49959,54584,					
DH_10_TgraphAdj_tXDHB_10_TgraphAdj_nt8				2.7767	49.319		816423	45.027	141,21,29,386,515,607,769,	140,21,290,385,516,603,76,	141,21,29,386,515,607,769,	1543,1560,1452,1543,1497,1507,1577,1459,	1517,1545,1489,1520,1514,1506,1517,1514,	84915,101761,98995,100665,100887,110418,114239,104543,					
DH_11_TgraphAdj	16	11	56400			1736									0.79314	0.14331	1.0789	1.4777	0.21424
DH_11_TgraphAdj_tXDHB_11_TgraphAdj_nt16				2.0707	54.445		2341751	7.6333	1033,1093,1220,133,1538,17,2,261,3,37,481,529,6,689,802,	1033,1096,1226,133,1537,17,2,261,3,37,49,529,6,681,806,	1033,1093,1220,133,1538,17,2,261,3,37,481,529,6,689,802,	1678,1549,1567,1665,1557,1750,1519,1613,1576,1583,1511,1713,1550,1528,1599,1595,	1650,1545,1598,1640,1568,1805,1467,1548,1565,1612,1623,1591,1573,1573,1600,1607,	106274,144028,161175,146984,166934,175825,143270,137077,133440,148294,152231,131160,156870,131660,148680,157849,					
DH_11_TgraphAdj_tXDHB_11_TgraphAdj_nt8				9.5036	47.731		2341751	42.372	1093,133,17,261,37,529,689,	1096,133,17,261,37,529,682,	1093,133,17,261,37,529,689,	3227,3232,3307,3132,3159,3224,3078,3194,	3195,3238,3373,3015,3177,3214,3155,3198,	250302,308159,342759,280347,281734,283391,288530,306529,					
DH_12_TgraphAdj	16	12	116096			3330									1.4069	0.22916	1.6513	1.5829	0.31854
