	EdgesPerVertex	SCALE	edges	graphuloMult	mrTime_10	nodes	numpp	outEntriesG	outEntriesMR	splitCompact	splitPoints	splitPoints2	splitPointsR	splitSizes	splitSizes2	splitSizesR	tAssoc	tFile	tInsert	tMerge	tStat
DHB_10_TgraphAdj	16	10	27310			884											0.54828	0.14017	2.2122	1.7246	0.42171
DHB_11_TgraphAdj	16	11	56350			1733											0.77284	0.1227	2.171	2.3079	0.48576
DHB_12_TgraphAdj	16	12	115806			3342											1.3888	0.36668	2.4403	1.8468	0.56233
DHB_13_TgraphAdj	16	13	237021			6441											2.6907	0.39119	3.5306	2.3353	0.54754
DHB_14_TgraphAdj	16	14	481986			12503											5.4536	0.77084	6.5488	2.6813	0.58927
DHB_15_TgraphAdj	16	15	979593			24281											11.136	1.575	13.365	7.2335	1.2454
DHB_16_TgraphAdj	16	16	1982629			46860											22.716	3.2253	23.539	7.6168	2.5602
DHB_17_TgraphAdj	16	17	4004931			90347											47.737	6.8431	46.135	12.999	3.4834
DHB_18_TgraphAdj	16	18	8077626			174136											100.291	14.479	93.647	22.284	5.6709
DH_10_TgraphAdj	16	10	27305			893											0.4739	0.086103	0.68291	1.3509	0.29738
DH_10_TgraphAdj_tXDHB_10_TgraphAdj_nt8				1.3158	49.799		816423	268551	268551	2.0655	141,21,29,386,515,607,769,	140,21,290,385,516,603,76,	141,21,29,386,515,607,769,	1543,1560,1452,1543,1497,1507,1577,1459,	1517,1545,1489,1520,1514,1506,1517,1514,	84915,101761,98995,100665,100887,110418,114239,104543,					
DH_11_TgraphAdj	16	11	56400			1736											1.0198	0.21642	1.0318	1.4651	0.42289
DH_11_TgraphAdj_tXDHB_11_TgraphAdj_nt8				2.327	48.435		2341751	790099	790099	2.3836	1093,133,17,261,37,529,689,	1096,133,17,261,37,529,682,	1093,133,17,261,37,529,689,	3227,3232,3307,3132,3159,3224,3078,3194,	3195,3238,3373,3015,3177,3214,3155,3198,	250302,308159,342759,280347,281734,283391,288530,306529,					
DH_12_TgraphAdj	16	12	116096			3330											1.3784	0.20874	1.7436	1.8146	0.29118
DH_12_TgraphAdj_tXDHB_12_TgraphAdj_nt8				5.3183	51.762		6768259	2408789	2408789	2.7551	1171,1601,2081,2563,3089,411,642,	1167,1581,2075,2561,3077,404,641,	1171,1601,2081,2563,3089,411,642,	6719,6693,6739,6671,6742,6643,6742,6662,	6672,6670,6679,6746,6589,6669,6810,6526,	767303,913041,796467,915206,852352,878962,812201,832727,					
DH_13_TgraphAdj	16	13	237070			6466											2.684	0.38605	2.9239	1.9052	0.40166
DH_13_TgraphAdj_tXDHB_13_TgraphAdj_nt8				19.94	64.918		18874728	6974635	6974635	3.087	130,2049,2568,33,4230,516,643,	13,2049,2565,33,4227,5154,643,	130,2049,2568,33,4230,516,643,	14159,13826,13642,13910,13862,13933,13894,13775,	13941,14206,13480,13983,13731,13883,13936,13777,	2094478,2277276,2401575,1741971,1262682,1723579,2555403,2453971,					
DH_14_TgraphAdj	16	14	482372			12543											5.2547	0.76828	5.5818	2.2	0.75971
DH_14_TgraphAdj_tXDHB_14_TgraphAdj_nt8				52.382	103.654		53205300	25389438	23434482	3.7044	121,1573,2345,35,4629,6209,8265,	12097,1574,2339,3505,4635,6197,8262,	121,1573,2345,35,4629,6209,8265,	28561,28568,28569,28625,28483,28705,28440,28533,	28510,28516,28513,28494,28521,28515,28519,28476,	6426517,4872893,4555834,4678639,4854973,5220698,4656547,5443166,					
DH_15_TgraphAdj	16	15	979038			24102											10.771	1.5827	11.089	4.257	1.202
DH_15_TgraphAdj_tXDHB_15_TgraphAdj_nt8				171.033	243.244		146709902	70558056	58072727	5.2955	12881,16705,20499,2503,3473,5137,801,	129,16706,2050,25025,3489,5134,802,	12881,16705,20499,2503,3473,5137,801,	58519,58714,58321,58455,58495,58662,58358,58480,	60160,56983,59045,57993,58551,58556,58595,58477,	12563145,10985796,12247462,11376211,14389090,12757426,13693949,10348194,					
DH_16_TgraphAdj	16	16	1981541			46830											22.236	3.2535	21.821	7.3231	1.6193
DH_16_TgraphAdj_tXDHB_16_TgraphAdj_nt8				552.807	620.847		399831513	237075330	204812493	7.6441	14473,18689,25,33041,402,49345,6550,	14449,18657,25,33037,401,49305,6509,	14473,18689,25,33041,402,49345,6550,	119367,119587,119146,119513,119144,119398,119268,119346,	119420,119409,119605,119219,119771,119076,119393,119413,	26710291,30207908,33049295,28013479,35258862,30185908,32701861,25214513,					
DH_17_TgraphAdj	16	17	4006378			90195											46.923	6.808	45.258	12.089	2.9744
DH_17_TgraphAdj_tXDHB_17_TgraphAdj_nt8				1631.43	1733.192		1087078413	630991429	666939346	14.809	1347,2049,3075,385,51289,66585,81970,	13449,2049,30753,385,51297,66588,81971,	1347,2049,3075,385,51289,66585,81970,	243116,246094,239742,244388,241350,243058,242817,242925,	242826,246284,239313,244308,241295,242800,242799,242798,	107100142,61474109,67974727,68348802,75724953,72266034,81237315,85962319,					
DH_18_TgraphAdj	16	18	8079456			174131											99.447	14.417	90.219	23.758	5.359
DH_18_TgraphAdj_tXDHB_18_TgraphAdj_nt8				4997.719	1881.901		2932283421	2558631734	925324809	38.347	132005,1587,196802,258,387,57633,74257,	132002,158739,196805,258,38554,57602,74243,	132005,1587,196802,258,387,57633,74257,	492580,492521,492579,493698,491645,492324,492692,492352,	492412,492377,492404,493825,490943,492438,492429,492310,	208491757,249627120,251546488,229496986,182861679,228587024,234622359,244557426,					
