	EdgesPerVertex	SCALE	edges	graphuloMult	mrTime_10	nodes	numpp	outEntriesG	outEntriesMR	splitCompact	splitPoints	splitPoints2	splitPointsR	splitSizes	splitSizes2	splitSizesR	tAssoc	tFile	tInsert	tMerge	tStat
DHB_10_TgraphAdj	16	10	27310			884											0.54828	0.14017	2.2122	1.7246	0.42171
DHB_11_TgraphAdj	16	11	56350			1733											0.77284	0.1227	2.171	2.3079	0.48576
DHB_12_TgraphAdj	16	12	115806			3342											1.3888	0.36668	2.4403	1.8468	0.56233
DHB_13_TgraphAdj	16	13	237021			6441											2.6907	0.39119	3.5306	2.3353	0.54754
DHB_14_TgraphAdj	16	14	481986			12503											5.4536	0.77084	6.5488	2.6813	0.58927
DHB_15_TgraphAdj	16	15	979593			24281											11.136	1.575	13.365	7.2335	1.2454
DHB_16_TgraphAdj	16	16	1982629			46860											22.716	3.2253	23.539	7.6168	2.5602
DHB_17_TgraphAdj	16	17	4004931			90347											47.737	6.8431	46.135	12.999	3.4834
DHB_18_TgraphAdj	16	18	8077626			174136											100.291	14.479	93.647	22.284	5.6709
DHB_19_TgraphAdj	16	19	16052950			335555											213.749	30.277	173.628	45.778	9.4305
DH_10_TgraphAdj	16	10	27305			893											0.4739	0.086103	0.68291	1.3509	0.29738
DH_10_TgraphAdj_tXDHB_10_TgraphAdj_nt8				0.89809	49.471		816423	268551	268551	2.2693	141,21,29,386,515,607,769,	140,21,290,385,516,603,76,	141,21,29,386,515,607,769,	1543,1560,1452,1543,1497,1507,1577,1459,	1517,1545,1489,1520,1514,1506,1517,1514,	84915,101761,98995,100665,100887,110418,114239,104543,					
DH_11_TgraphAdj	16	11	56400			1736											1.0198	0.21642	1.0318	1.4651	0.42289
DH_11_TgraphAdj_tXDHB_11_TgraphAdj_nt8				1.3611	44.547		2341751	790099	790099	2.5469	1093,133,17,261,37,529,689,	1096,133,17,261,37,529,682,	1093,133,17,261,37,529,689,	3227,3232,3307,3132,3159,3224,3078,3194,	3195,3238,3373,3015,3177,3214,3155,3198,	250302,308159,342759,280347,281734,283391,288530,306529,					
DH_12_TgraphAdj	16	12	116096			3330											1.3784	0.20874	1.7436	1.8146	0.29118
DH_12_TgraphAdj_tXDHB_12_TgraphAdj_nt8				2.447	44.665		6768259	2408789	2408789	2.8222	1171,1601,2081,2563,3089,411,642,	1167,1581,2075,2561,3077,404,641,	1171,1601,2081,2563,3089,411,642,	6719,6693,6739,6671,6742,6643,6742,6662,	6672,6670,6679,6746,6589,6669,6810,6526,	767303,913041,796467,915206,852352,878962,812201,832727,					
DH_13_TgraphAdj	16	13	237070			6466											2.684	0.38605	2.9239	1.9052	0.40166
